NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
NavShareToken verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Traceback (most recent call last):
  File "/Users/michaelmacmini/srv/zero-one-dao/scripts/verify-etherscan-v2.py", line 82, in <module>
    raise RuntimeError("Verification polling timed out: " + contract["name"])
RuntimeError: Verification polling timed out: NavShareToken
